descripcion_comportamiento,patron_psicologico
"Evita el contacto visual durante las conversaciones.","Timidez"
"Participa activamente en actividades de riesgo.","Búsqueda de emociones"
"Se preocupa excesivamente por el orden y la limpieza.","Perfeccionismo"
"Tiene cambios de humor repentinos sin razón aparente.","Inestabilidad emocional"
"Muestra empatía y comprensión hacia los demás.","Altruismo"
"Se aísla de amigos y familiares.","Aislamiento social"
"Habla de manera constante y domina las conversaciones.","Extroversión"
"Sigue rutinas estrictas y se molesta cuando se interrumpen.","Rigidez cognitiva"
"Tiene dificultad para concentrarse en tareas.","Déficit de atención"
"Busca la aprobación constante de los demás.","Dependencia emocional"
"Experimenta miedo intenso en situaciones comunes.","Ansiedad"
"Tiene una visión optimista de la vida.","Positividad"
"Es creativo y disfruta de actividades artísticas.","Creatividad"
"Se muestra hostil y agresivo ante críticas.","Agresividad"
"Toma decisiones impulsivamente sin pensar en las consecuencias.","Impulsividad"
"Demuestra una gran capacidad de liderazgo.","Liderazgo"
"Se siente triste y desmotivado la mayor parte del tiempo.","Depresión"
"Es receptivo a nuevas ideas y experiencias.","Apertura a la experiencia"
"Tiene dificultades para dormir debido a preocupaciones.","Estrés"
"Tiende a mentir para evitar responsabilidades.","Deshonestidad"
"Muestra una actitud desafiante hacia la autoridad.","Rebeldía"
"Evita tomar decisiones importantes.","Indecisión"
"Se adapta fácilmente a nuevos entornos y situaciones.","Adaptabilidad"
"Siente una necesidad constante de competir y ganar.","Competitividad"
"Le cuesta seguir instrucciones y reglas.","Desobediencia"
"Tiene una autoestima alta y confianza en sí mismo.","Autoestima alta"
"Se siente inferior y duda de sus capacidades.","Inseguridad"
"Es persistente y no se rinde fácilmente.","Perseverancia"
"Disfruta ayudando a otros sin esperar nada a cambio.","Generosidad"
"Le preocupa excesivamente su salud y bienestar.","Hipocondría"
"Prefiere trabajar solo en lugar de en equipo.","Individualismo"
"Tiene dificultad para expresar sus emociones.","Alexitimia"
"Se aburre fácilmente y busca constantemente nuevas actividades.","Inquietud"
"Muestra una gran atención al detalle en sus tareas.","Meticulosidad"
"Se siente incómodo cuando no es el centro de atención.","Egocentrismo"
"Tiende a procrastinar y posponer responsabilidades.","Procrastinación"
"Es optimista incluso en situaciones difíciles.","Resiliencia"
"Se preocupa por el impacto ambiental y social de sus acciones.","Conciencia social"
"Tiene reacciones emocionales exageradas ante estímulos mínimos.","Hipersensibilidad"
"Es reservado y no comparte información personal fácilmente.","Reservado"
"Disfruta planificando y organizando eventos y actividades.","Planificación"
"Evita conflictos y busca la armonía en las relaciones.","Pacifismo"
"Es competitivo y disfruta de los desafíos.","Ambición"
"Se muestra escéptico ante nuevas ideas sin evidencia sólida.","Escepticismo"
"Suele preocuparse por eventos que aún no han ocurrido.","Preocupación excesiva"
"Es capaz de ver las cosas desde múltiples perspectivas.","Pensamiento flexible"
"Tiene dificultades para confiar en los demás.","Desconfianza"
"Se siente abrumado en entornos con mucha estimulación sensorial.","Sensibilidad sensorial"
"Le gusta mantener todo en orden y organizado.","Orden"
"Disfruta aprendiendo cosas nuevas constantemente.","Curiosidad"
"Se siente incómodo con los cambios inesperados.","Resistencia al cambio"
